row,col,plant_id,growth,temperature,radiation,daily_assimilation
0,0,Plant_0_0,1.39536,18.0,300.0,0.0
0,1,Plant_0_1,1.3255920000000003,18.0,285.0,0.0
0,2,Plant_0_2,1.255824,18.0,270.0,0.0
1,0,Plant_1_0,1.4011740000000001,18.075,300.0,0.0
1,1,Plant_1_1,1.3308391350000002,18.07125,285.0,0.0
1,2,Plant_1_2,1.26053334,18.0675,270.0,0.0
2,0,Plant_2_0,1.406988,18.15,300.0,0.0
2,1,Plant_2_1,1.3360862700000002,18.1425,285.0,0.0
2,2,Plant_2_2,1.2652426800000003,18.135,270.0,0.0
