row,col,plant_id,nodes,lai,biomass,fruit_biomass,mature_fruit_biomass,avg_temperature,max_ppfd
0,0,P0_0,58,1.299149529628266629460038599,319.9941540826067220258677190,219.4722891758653169355695917,73.41808186117136045368653486,12.22314049586776859504132231,422.00
0,1,P0_1,58,1.299149529628266629460038599,317.1073289843763348302282496,216.6665796415780048918538049,72.49617121821468773676819329,12.22314049586776859504132231,422.00
0,2,P0_2,58,1.299149529628266629460038599,314.1488658841287663283317149,213.7914968129092877690319881,71.55105492069711451681475784,12.22314049586776859504132231,422.00
0,3,P0_3,58,1.299149529628266629460038599,311.1159041732381417750551835,210.8442806938976712145396731,70.58179493747987546353976246,12.22314049586776859504132231,422.00
0,4,P0_4,58,1.299149529628266629460038599,308.0054223830118762419883511,207.8220166765574488231075219,69.58739992448049700682445680,12.22314049586776859504132231,422.00
1,0,P1_0,58,1.300014235104097906693459832,320.5131381939051445079828623,219.8836661383103809163542984,73.61053449937547376478815569,12.22314049586776859504132231,422.00
1,1,P1_1,58,1.299978154777678459044951796,317.6131408684927758386299106,217.0675055046243857907711795,72.68441686167292277957987539,12.22314049586776859504132231,422.00
1,2,P1_2,58,1.299942074451259011396443747,314.6415261801787836557544172,214.1819914669692473547782244,71.73508275723133865264715641,12.22314049586776859504132231,422.00
1,3,P1_3,58,1.299905994124839563747935698,311.5954335477176456513711940,211.2243640266823424229381530,70.76159350199445893574949575,12.22314049586776859504132231,422.00
1,4,P1_4,58,1.299869913798420116099427659,308.4718415002923534570157065,208.1917085418406221852230332,69.76295705349041809948489318,12.22314049586776859504132231,422.00
2,0,P2_0,58,1.300343224350757462105652312,320.7359723400696551600781013,219.9988936725245726984629691,73.66195183645352009015189584,12.22314049586776859504132231,422.00
2,1,P2_1,58,1.300271126197550918991035237,317.8267109498917616830032126,217.1761900698765002139106640,72.73343423488218824660807601,12.22314049586776859504132231,422.00
2,2,P2_2,58,1.300199028044344375876418153,314.8459442306842782378471985,214.2842443495056870359459929,71.78173317514922790970176819,12.22314049586776859504132231,422.00
2,3,P2_3,58,1.300126929891137832761801070,311.7908151166634403975554650,211.3202999981247842013776201,70.80591104132781422256876732,12.22314049586776859504132231,422.00
2,4,P2_4,58,1.300054831737931289647183983,308.6583058110150937021634624,208.2814460159954311984799067,69.80497690886000968267009677,12.22314049586776859504132231,422.00
3,0,P3_0,58,1.300364084744422690159988588,320.9618129990993329823017280,220.1171282576851407720873625,73.72077793142618270557180074,12.22314049586776859504132231,422.00
3,1,P3_1,58,1.300256056950489655312794222,318.0433118770526953285114748,217.2879059868936030041292000,72.78978805694604288605446656,12.22314049586776859504132231,422.00
3,2,P3_2,58,1.300148029156556620465599849,315.0534159314699626058151116,214.3895513573306952826959758,71.83564525550406511975557456,12.22314049586776859504132231,422.00
3,3,P3_3,58,1.300808586193791269786851100,312.0739067418727412988008656,211.5039464709226834266024599,70.87931852419832279554978141,12.22314049586776859504132231,422.00
3,4,P3_4,58,1.300700493788232391854897609,308.9310968876549741764337125,208.4575106723158560434642833,69.87564657834156902564241511,12.22314049586776859504132231,422.00
4,0,P4_0,58,1.300857991966788680872232023,321.2160768266260763476337601,220.2637865506047626628789245,73.78112090380711755729477092,12.22314049586776859504132231,422.00
4,1,P4_1,58,1.300714060849559539206507906,318.2878601066394056267161863,217.4275697134217431137121881,72.84760282435654723421195812,12.22314049586776859504132231,422.00
4,2,P4_2,58,1.300570129732330397540783796,315.2883504738344603703981262,214.5223216827323239942881745,71.89096197263128471186515423,12.22314049586776859504132231,422.00
4,3,P4_3,58,1.300426198615101255875059677,312.2146974664067338031117445,211.5452924890396823596955065,70.91026266075359390534947952,12.22314049586776859504132231,422.00
4,4,P4_4,58,1.300282267497872114209335566,309.0638901855229166422353802,208.4935779669336139729073353,69.90451598004615836730041451,12.22314049586776859504132231,422.00
