sample,Biomass_0_N,Biomass_0_Nd,Biomass_0_PPFD,Biomass_0_Rad,Biomass_0_T_d_mean,Biomass_0_T_in,Biomass_0_T_mean,Biomass_0_c,Biomass_0_cd,Biomass_0_deltapg,Biomass_0_deltarm,Biomass_0_dn,Biomass_0_dw,Biomass_0_dwf,Biomass_0_dwm,Biomass_0_ff,Biomass_0_grnet,Biomass_0_lai,Biomass_0_location,Biomass_0_p1,Biomass_0_pg,Biomass_0_pgr,Biomass_0_rm,Biomass_0_w,Biomass_0_wf,Biomass_0_wm,Biomass_1_N,Biomass_1_Nd,Biomass_1_PPFD,Biomass_1_Rad,Biomass_1_T_d_mean,Biomass_1_T_in,Biomass_1_T_mean,Biomass_1_c,Biomass_1_cd,Biomass_1_deltapg,Biomass_1_deltarm,Biomass_1_dn,Biomass_1_dw,Biomass_1_dwf,Biomass_1_dwm,Biomass_1_ff,Biomass_1_grnet,Biomass_1_lai,Biomass_1_location,Biomass_1_p1,Biomass_1_pg,Biomass_1_pgr,Biomass_1_rm,Biomass_1_w,Biomass_1_wf,Biomass_1_wm,Greenhouse_Rad,Greenhouse_Rad_input_0,Greenhouse_Rad_input_1,Greenhouse_T_daytime_mean,Greenhouse_T_in,Greenhouse_T_input_0,Greenhouse_T_input_1,Greenhouse_T_mean,Greenhouse_T_sparse_daytime_0,Greenhouse_T_sparse_daytime_1,Greenhouse_T_sparse_mean_0,Greenhouse_T_sparse_mean_1,LAI_0_DN,LAI_0_N,LAI_0_Nd,LAI_0_c,LAI_0_dh,LAI_0_lai,LAI_0_location,LAI_1_DN,LAI_1_N,LAI_1_Nd,LAI_1_c,LAI_1_dh,LAI_1_lai,LAI_1_location,Nodes_0_C0,Nodes_0_C1,Nodes_0_C2,Nodes_0_K0,Nodes_0_K1,Nodes_0_K2,Nodes_0_N,Nodes_0_Nd,Nodes_0_T_mean,Nodes_0_c,Nodes_0_dn,Nodes_0_location,Nodes_1_C0,Nodes_1_C1,Nodes_1_C2,Nodes_1_K0,Nodes_1_K1,Nodes_1_K2,Nodes_1_N,Nodes_1_Nd,Nodes_1_T_mean,Nodes_1_c,Nodes_1_dn,Nodes_1_location
10,5.0,5.0,724.5,345.0,24.45,21.4,23.15,0,10,0.5602384995907129,0.0,0.0,0,0,0.0,1,0.29058295384553173,0.015,B0,0,5.363980742927773,1,0.0,0,0,0,5.0,5.0,723.6055555555556,344.5740740740741,24.44858024691358,21.4,23.148580246913582,0,10,0.5599060308945858,0.0,0.0,0,0,0.0,1,0.2904034343476363,0.015,B0,0,5.360653283022566,1,0.0,0,0,0,345.0,345.0,344.5740740740741,23.3,21.4,22.549999999999997,22.54858024691358,22.0,24.45,24.44858024691358,23.15,23.148580246913582,0.0,5.0,5.0,10,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,10,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.15,10,0.5571107142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.148580246913582,10,0.5570805952380953,N_0
11,5.0,5.0,735.0,350.0,24.566666666666666,21.5,23.26666666666667,0,11,0.5641097360314986,0.0,0.0,0,0,0.0,1,0.3184424205452973,0.015,B0,0,5.928090478959271,1,0.0,0,0,0,5.0,5.0,734.0925925925926,349.5679012345679,24.565226337448557,21.5,23.26522633744856,0,11,0.5637774706936594,0.0,0.0,0,0,0.0,1,0.3182466134073048,0.015,B0,0,5.9244307537162255,1,0.0,0,0,0,350.0,350.0,349.5679012345679,23.4,21.5,22.666666666666668,22.66522633744856,22.1,24.566666666666666,24.565226337448557,23.26666666666667,23.26522633744856,0.0,5.0,5.0,11,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,11,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.26666666666667,11,0.5595857142857144,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.26522633744856,11,0.5595551587301588,N_0
12,5.0,5.0,745.5,355.0,24.683333333333334,21.7,23.383333333333333,0,12,0.5679235311868294,0.0,0.0,0,0,0.0,1,0.3464861364023802,0.015,B0,0,6.496014010146101,1,0.0,0,0,0,5.0,5.0,744.5796296296296,354.5617283950617,24.68187242798354,21.7,23.381872427983538,0,12,0.5675914997740537,0.0,0.0,0,0,0.0,1,0.3462740545976155,0.015,B0,0,6.492022253490279,1,0.0,0,0,0,355.0,355.0,354.5617283950617,23.5,21.7,22.883333333333333,22.881872427983538,22.2,24.683333333333334,24.68187242798354,23.383333333333333,23.381872427983538,0.0,5.0,5.0,12,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,12,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.383333333333333,12,0.5620607142857144,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.381872427983538,12,0.5620297222222222,N_0
13,5.0,5.0,756.0,360.0,24.8,21.8,23.5,0,13,0.571681154111395,0.0,0.0,0,0,0.0,1,0.37471140841599404,0.015,B0,0,7.067695164257495,1,0.0,0,0,0,5.0,5.0,755.0666666666667,359.55555555555554,24.79851851851852,21.8,23.49851851851852,0,13,0.5713493857790446,0.0,0.0,0,0,0.0,1,0.37448306627862243,0.015,B0,0,7.063371639269324,1,0.0,0,0,0,360.0,360.0,359.55555555555554,23.6,21.8,23.0,22.99851851851852,22.3,24.8,24.79851851851852,23.5,23.49851851851852,0.0,5.0,5.0,13,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,13,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.5,13,0.5645357142857144,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.49851851851852,13,0.5645042857142858,N_0
14,5.0,5.0,735.0,350.0,24.566666666666666,21.6,23.366666666666667,0,14,0.5641097360314986,0.0,0.0,0,0,0.0,1,0.4020096129115202,0.015,B0,0,7.631804900288994,1,0.0,0,0,0,5.0,5.0,734.0925925925926,349.5679012345679,24.565226337448557,21.6,23.365226337448558,0,14,0.5637774706936594,0.0,0.0,0,0,0.0,1,0.4017649487812083,0.015,B0,0,7.627149109962983,1,0.0,0,0,0,350.0,350.0,349.5679012345679,23.4,21.6,22.76666666666667,22.76522633744856,22.2,24.566666666666666,24.565226337448557,23.366666666666667,23.365226337448558,0.0,5.0,5.0,14,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,14,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.366666666666667,14,0.561707142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.365226337448558,14,0.5616765873015873,N_0
15,5.0,5.0,703.5,335.0,24.21666666666667,21.3,23.116666666666667,0,15,0.5523184325724358,0.0,0.0,0,0,0.0,1,0.42852246859453114,0.015,B0,0,8.18412333286143,1,0.0,0,0,0,5.0,5.0,702.6314814814815,334.58641975308643,24.215288065843623,21.3,23.11528806584362,0,15,0.5519856548383034,0.0,0.0,0,0,0.0,1,0.4282614565833219,0.015,B0,0,8.179134764801287,1,0.0,0,0,0,335.0,335.0,334.58641975308643,23.1,21.3,22.416666666666668,22.415288065843622,22.0,24.21666666666667,24.215288065843623,23.116666666666667,23.11528806584362,0.0,5.0,5.0,15,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,15,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.116666666666667,15,0.5564035714285714,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.11528806584362,15,0.5563743253968255,N_0
16,5.0,5.0,672.0,320.0,23.866666666666667,21.0,22.766666666666666,0,16,0.5399735005486119,0.0,0.0,0,0,0.0,0.9854166666666666,0.45440264988067197,0.015,B0,0,8.724096833410043,1,0.0,0,0,0,5.0,5.0,671.1703703703705,319.60493827160496,23.865349794238682,21.0,22.76534979423868,0,16,0.5396405277669499,0.0,0.0,0,0,0.0,0.9853343621399175,0.454125295987441,0.015,B0,0,8.718775292568237,1,0.0,0,0,0,320.0,320.0,319.60493827160496,22.8,21.0,22.066666666666666,22.065349794238685,21.7,23.866666666666667,23.865349794238682,22.766666666666666,22.76534979423868,0.0,5.0,5.0,16,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,16,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.766666666666666,16,0.5489785714285715,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.76534979423868,16,0.5489506349206349,N_0
17,5.0,5.0,640.5,305.0,23.516666666666666,20.7,22.416666666666664,0,17,0.5270350113420358,0.0,0.0,0,0,0.0,0.9635416666666665,0.47961908429141636,0.015,B0,0,9.251131844752079,1,0.0,0,0,0,5.0,5.0,639.7092592592593,304.62345679012344,23.515411522633745,20.7,22.415411522633743,0,17,0.5267022089480548,0.0,0.0,0,0,0.0,0.963463220164609,0.4793254147982763,0.015,B0,0,9.245477501516293,1,0.0,0,0,0,305.0,305.0,304.62345679012344,22.5,20.7,21.716666666666665,21.715411522633744,21.4,23.516666666666666,23.515411522633745,22.416666666666664,22.415411522633743,0.0,5.0,5.0,17,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,17,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.416666666666664,17,0.5415535714285714,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.415411522633743,17,0.5415269444444445,N_0
18,5.0,5.0,619.5,295.0,23.183333333333334,20.4,22.083333333333336,0,18,0.5180581136293668,0.0,0.0,0,0,0.0,0.9427083333333335,0.5045895179321304,0.015,B0,0,9.769189958381446,1,0.0,0,0,0,5.0,5.0,618.7351851851852,294.6358024691358,23.182119341563784,20.4,22.082119341563786,0,18,0.5177256548527596,0.0,0.0,0,0,0.0,0.9426324588477366,0.5042795581904298,0.015,B0,0,9.763203156369052,1,0.0,0,0,0,295.0,295.0,294.6358024691358,22.2,20.4,21.383333333333333,21.382119341563783,21.1,23.183333333333334,23.182119341563784,22.083333333333336,22.082119341563786,0.0,5.0,5.0,18,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,18,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.083333333333336,18,0.534482142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.082119341563786,18,0.5344563888888889,N_0
19,5.0,5.0,598.5,285.0,22.849999999999998,20.1,21.75,0,19,0.5087839412846993,0.0,0.0,0,0,0.0,0.921875,0.5290904720986389,0.015,B0,0,10.277973899666145,1,0.0,0,0,0,5.0,5.0,597.7611111111112,284.64814814814815,22.848827160493826,20.1,21.74882716049383,0,19,0.5084520314262552,0.0,0.0,0,0,0.0,0.9218016975308643,0.5287642591028177,0.015,B0,0,10.271655187795307,1,0.0,0,0,0,285.0,285.0,284.64814814814815,21.9,20.1,21.05,21.04882716049383,20.8,22.849999999999998,22.848827160493826,21.75,21.74882716049383,0.0,5.0,5.0,19,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,19,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.75,19,0.5274107142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.74882716049383,19,0.5273858333333334,N_0
