sample,ShipCounter_0_count,ShipCounter_0_location
0,0,Counter
1,1,Counter
2,2,Counter
3,3,Counter
4,4,Counter
5,5,Counter
6,4,Counter
7,3,Counter
8,2,Counter
9,1,Counter
10,0,Counter
